Base ID:,National ID:,Unlic. ID:,Unl. Nat. ID:,Nationality:,,Deprecated nat.:,,Full real name:,Proposed in-game name:,Date of birth:,Soccerway:,Name in home country or alternative:,Real name in-game:,Real name in-game (japanese):,Real name in-game (chinese):,License status:,Adaptability:,Look-alike name:,Look-alike name (japansese):,Fake name:,Fake name (japanese),Fake name (chinese):,PES 2021:,PES 2020:,PES 2019:,PES 2018:,PES 2017:,PES 2016:,PES 2015:
14,131086,262158,393230,240,Uzbek,‒,‒,Mirjalol Kushakovich Qosimov,M. QOSIMOV,9/17/1970,179345,"Mirjalol Qoʻshoqovich Qosimov
Мирджалол Кушакович Касымов",,,,FALSE,,QARAZOV,カラゾフ,L. GRIFFIN,ローレンス グリフィン,,,,,,,PES2016,PES2015
15,131087,262159,393231,36,Thai,‒,‒,Kiatisuk 'Zico' Senamuang,,8/11/1973,285929,เกียรติศักดิ์ 'โก้' เสนาเมือง,K. SENAMUANG,キャティサック セーナームアン,,TRUE,69,SAINAMELEAN,サイナメラーン,"H. BOTHROYD
R. OATES
R. POLLITT","ホリー ボスロイド
ラファエル オーツ
ロッド ポリット",,,,PES2019,PES2018,PES2017,PES2016,PES2015
16,131088,262160,393232,208,French,‒,‒,Paul Le Guen,,3/1/1964,111203,,P. LE GUEN,ポール ル グエン,,TRUE,74,LESGANDES,ルガンド,"B. SCHMITT
S. COCHET","ブリュノ シュミット
サンディ コッシェ",布律诺·施米特,PES2021,PES2020,PES2019,,,PES2016,PES2015
17,131089,262161,393233,208,French,‒,‒,Rudi José Garcia,RUDI GARCIA,2/20/1964,110849,,R. GARCIA,リュディ ガルシア,,TRUE,80,,,"A. LHERMITTE
J. ZITZERMANN
T. FOUQUE","アルヌール レルミット
ジャン ピエール ジツェルマン
トム フォーク",阿尔努·莱尔米特,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
18,131090,262162,393234,215,Italian,‒,‒,Walter Mazzarri,,10/1/1961,110809,,W. MAZZARRI,ワルテル マッツァーリ,,TRUE,81,,,"E. VANNARELLI
E. VIRGA
I. SCOTTI
G. BARINI","エヴァージオ ヴァナレッリ
エジーディオ ヴィルガ
イゴール スコッティ
ジーノ バリーニ",埃瓦西奥·万纳雷利,,PES2020,PES2019,PES2018,PES2017,,PES2015
19,131091,262163,393235,303,Serbian,‒,‒,Siniša Mihajlović,,2/20/1969,110818,Синиша Михајловић,S. MIHAJLOVIĆ,シニシャ ミハイロヴィチ,西尼沙·米哈伊洛维奇,TRUE,79,,,D. JELIC,ディンコ イエリッチ,,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
20,131092,262164,393236,215,Italian,‒,‒,Stefano Colantuono,,10/23/1962,194718,,S. COLANTUONO,ステファノ コラントゥオーノ,,TRUE,,,,"L. ZAMBONI
A. PRODI","レオン ザンボーニ
アドネ プローディ",,,,,PES2018,PES2017,PES2016,PES2015
21,131093,262165,393237,215,Italian,‒,‒,Ivo Pulga,I. PULGA,6/20/1964,270912,,,,,FALSE,,,,V. BONERA,ヴィセンテ ボネーラ,,,,,PES2018,,,
23,131095,262167,393239,215,Italian,‒,‒,Serse Cosmi,,5/5/1958,110823,,S. COSMI,セルセ コズミ,塞尔塞·科斯米,TRUE,70,CASILI,カジーリ,"A. BALDATO
G. PERRONE
G. FALSINI
G. FRANCIOSO","アドネ バルダート
ガスパーレ ペロン
ジャンネット ファルシーニ
ジーモ フランチーシ",阿多内·巴尔达托,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
24,131096,262168,393240,215,Italian,‒,‒,Giuseppe Iachini,,5/7/1964,137774,,G. IACHINI,ジュゼッペ イアキーニ,朱塞佩·亚基尼,TRUE,78,,,,,,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
25,131097,262169,393241,215,Italian,‒,‒,Mario Beretta,M. BERETTA,10/30/1959,4690,,,,,FALSE,,BOLMAZZOLI,ボルマッツォーリ,,,,,,,,,,PES2015
26,131098,262170,393242,215,Italian,‒,‒,Gennaro Ivan 'Rino' Gattuso,G. GATTUSO,1/9/1978,73,,,,,FALSE,76,,,"S. CALDERONI
R. BOCCARDO
D. SCIROLI","シルヴィオ カルデローニ
ロベルト ボッカルド
ディエゴ シローリ",西尔维奥·卡尔代罗尼,PES2021,PES2020,PES2019,PES2018,PES2017,,
27,131099,262171,393243,215,Italian,‒,‒,Devis Mangia,D. MANGIA,6/6/1974,205839,,,,,FALSE,,MATTAROLO,マッタローロ,,,,,,,,,,PES2015
28,131100,262172,393244,215,Italian,‒,‒,Eugenio Corini,,7/30/1970,4085,,E. CORINI,"エウジェニオ コリーニ
コリーニ",欧金尼奥·科里尼,TRUE,73,,,"D. ARNABOLDI
I. ANTONELLI
W. MAINI
K. ROMA","ディオニージ アルナボルディ
イグナツィオ アントネッリ
ウラディミーロ マイーニ
カレル ローマ",迪奥尼吉·阿纳博尔迪,PES2021,PES2020,,PES2018,PES2017,,PES2015
29,131101,262173,393245,215,Italian,‒,‒,Vincenzo Montella,,6/18/1974,177478,,V. MONTELLA,"ヴィンチェンツォ モンテッラ
モンテッラ",文森佐·蒙特拉,TRUE,77,,,"B. COIS
L. DEL PIRLO
R. DANESE","ベルナルド コイス
ルーカス デル ピルロ
ロマーノ ダネーゼ",,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
30,131102,262174,393246,215,Italian,‒,‒,Gian Piero Gasperini,,1/26/1958,110811,,"G. GASPERINI
G. P. GASPERINI","ジャン ピエーロ ガスペリーニ
ガスペリーニ",吉安·皮埃罗·加斯佩里尼,TRUE,85,,,,,,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
31,131103,262175,393247,215,Italian,‒,‒,Eusebio Di Francesco,,9/8/1969,194719,,E. DI FRANCESCO,"エウゼビオ ディフランチェスコ
ディ フランチェスコ",欧塞比奥·迪弗朗切斯科,TRUE,78,,,"G. BERIO
M. PINCHERLE
S. MAGGIORE
S. CONTINI
G. VERSACE
I. BELLERI","ガリレオ ベリオ
マルツィオ ピンケルレ
シドニー マッジョーレ
サント コンティーニ
ジョット ヴェルサーチ
イサルコ ベッレーリ",,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
32,131104,262176,393248,215,Italian,‒,‒,Andrea Mandorlini,,7/17/1960,119253,,A. MANDORLINI,マンドルリーニ,,TRUE,,,,O. DI MARTINO,オメロ ディ マルティノ,,,,,PES2018,PES2017,PES2016,PES2015
33,131105,262177,393249,215,Italian,‒,‒,Pierpaolo Bisoli,,11/20/1966,137756,,P. BISOLI,"ピエルパオロ ビゾーリ
ビゾーリ",皮耶尔保罗·比索利,TRUE,67,,,"C. LATTUADA
D. CORRADINI","カロジェロ ラットゥアーダ
デメトリオ コッラディーニ",,PES2021,PES2020,,,PES2017,PES2016,PES2015
34,131106,262178,393250,215,Italian,‒,‒,Massimo Drago,M. DRAGO,3/2/1971,245314,,,,,FALSE,,DAGHINI,ダギーニ,"G. SANTARELLI
G. PADOIN","ジャンノット サンタレッリ
ジョアッキーノ パドイン",,,,,,PES2017,PES2016,PES2015
35,131107,262179,393251,215,Italian,‒,‒,Alfredo Walter Amato Lenin Novellino,W. NOVELLINO,6/4/1953,178115,,,,,FALSE,,NOCCETTI,ノッチェッティ,"C. BALBI
G. PETROBELLI","カヴァリエーレ バルビ
ジュリアーノ ペトロベッリ",,,,,PES2018,PES2017,,PES2015
36,131108,262180,393252,215,Italian,‒,‒,Devis Mangia,D. MANGIA,6/6/1974,205839,,D. MANGIA,デヴィス マンジャ,德维斯·曼贾,TRUE,68,,,"T. CAVASIN
K. AMBROSINI","ティツィアーノ カヴァジン
クルト アンブロジーニ",,PES2021,,,,PES2017,PES2016,
37,131109,262181,393253,215,Italian,‒,‒,Roberto Boscaglia,,3/20/1968,182385,,R. BOSCAGLIA,ロベルト ボスカッリャ,罗伯托·博斯卡利亚,TRUE,68,BAGNARIA,バニャーリャ,"T. FRANCHINI
A. PISTILLI
E. DI NAPOLI","テオドゥーロ フランチーニ
アンジェロ ピスティッリ
エッリーコ ディ ナポリ",泰奥杜洛·弗兰基尼,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
38,131110,262182,393254,11,Iranian,‒,‒,Ardeshir 'Amir ' Ghalenoei,,11/23/1963,113230,امیر قلعه‌نویی ,A. GHALENOEI,"アミル ガレノエイ
ガレノエイ",阿米尔·加里诺伊,TRUE,76,,,,,,PES2021,,PES2019,,,PES2016,PES2015
39,131111,262183,393255,200,Croatian,‒,‒,Zlatko 'Cico' Kranjčar,Z. KRANJČAR,11/15/1956,95821,,Z. KRANJCAR,クラニチャル,,TRUE,,,,,,,,,,,PES2017,,PES2015
40,131112,262184,393256,228,Portuguese,‒,‒,António José 'Toni' Conceição Oliveira,TONI,10/14/1946,115384,,"A. OLIVEIRA
TONI","アントニオ オリヴェイラ
トニ",,TRUE,,,,,,,,,,,,PES2016,PES2015
41,131113,262185,393257,11,Iranian,‒,‒,Hossein Faraki,,3/22/1957,139546,حسین فرکی,H. FARAKI,ファラキ,,TRUE,,,,,,,,,,,,,PES2015
42,131114,262186,393258,240,Uzbek,‒,‒,Aleksandr Gennadyevich Volkov,,2/11/1963,336232,"Aleksandr Gennadevich Volkov
Александр Геннадьевич Волков",A. VOLKOV,ヴォルコフ,,TRUE,,,,,,,,,,,,,PES2015
43,131115,262187,393259,162,Australian,‒,‒,Antony 'Tony' Popovic,,7/4/1973,270946,,T. POPOVIC,"トニー ポポヴィッチ
ポポヴィッチ",托尼·波波维奇,TRUE,75,,,,,,PES2021,,,PES2018,,PES2016,PES2015
44,131116,262188,393260,162,Australian,‒,‒,Phil Moss,,10/5/1971,323193,,P. MOSS,モス,,TRUE,,,,,,,,,,,,,PES2015
45,131117,262189,393261,162,Australian,‒,‒,Kevin Vincent Muscat,,8/7/1973,17536,,K. MUSCAT,"ケヴィン マスカット
マスカット",凯文·马斯喀特,TRUE,72,,,,,,PES2021,PES2020,PES2019,,,PES2016,PES2015
46,131118,262190,393262,12,Iraqi,‒,‒,Hakeem Shaker Jaʽfar Flayyih Al-Azzawi,,1/7/1963,279772,حكيم شاكر فليح جعفر العزاوي,HAKEEM SHAKIR,ハキーム シャケル,哈基姆·沙克尔,TRUE,68,SHUMADEH,シュマデフ,,,,,PES2020,,,,,PES2015
47,131119,262191,393263,58,Egyptian,‒,‒,Hossam Hassan Hussein,H. HASSAN,8/10/1966,106426,حسام حسن حسين‎,,,,FALSE,,HUNSAL,ウンサル,,,,,,,,,,PES2015
48,131120,262192,393264,15,North Korean,‒,‒,Yun Jong-su,YUN JONG-SU,1/3/1962,185355,윤정수,,,,FALSE,68,YOON JANGGI,ユン チャンギ,"GAL BYEONGRYEOL
MA GYEONGJIN","カル ビョンリョル
マ ギョンジン",葛秉列,PES2021,,,,,,PES2015
49,131121,262193,393265,204,English,‒,‒,Neil Emblen,N. EMBLEN,6/19/1971,215190,,,,,FALSE,,EGARD,エガード,,,,,,,,,,PES2015
50,131122,262194,393266,236,Spanish,‒,‒,Unai Emery Etxegoien,,11/3/1971,110779,,UNAI EMERY,ウナイ エメリ,乌奈·埃梅里,TRUE,84,ESPARELI,エスパレリ,"S. RAYA
C. BOLUDA
C. ROBLEDO
A. BELLO","サムエル ラジャ
クリストバル ボルダ
カピ ロブレード
アグスティン ベーリョ",萨穆埃尔·拉亚,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
51,131123,262195,393267,215,Italian,‒,‒,Carlo Ancelotti,C. ANCELOTTI,6/10/1959,105040,,,,,FALSE,85,"BERNARD DELIND
ARUDECCHI","ベルナール ドゥラン
アルデッキ","D. MILLESI
N. DE CHIRICO
P. MASSI","ディーノ ミッレージ
ナターレ デ キリコ
パスクァーレ マッシ",迪诺·米莱西,PES2021,PES2020,PES2019,,,PES2016,PES2015
52,131124,262196,393268,144,Argentine,‒,‒,Diego Pablo 'El Cholo' Simeone,,4/28/1970,171248,,D. SIMEONE,ディエゴ シメオネ,,TRUE,88,"BERNARD DELIND
SENAUNO","ベルナール ドゥラン
セナウノ","C. VALBUENA
Y. ARACIL","クリスト バルブエナ
ヨス アラシル",克里斯托·巴尔武埃纳,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
53,131125,262197,393269,236,Spanish,‒,‒,Francisco Javier Rodríguez Vílchez,FRANCISCO,6/17/1978,225942,,,,,FALSE,69,FRAMPO,フランポ,"J. CARRIEDO
A. GUERAU
A. GURRUTXAGA
J. LUSARRETA
B. LAFUENTE","ファン ミゲル カリエド
アルナル ゲラウ
アドリアーノ グルチャガ
ハコモ ルサレタ
ビガス ラフエンテ",胡安-米格尔·卡里埃多,PES2021,PES2020,PES2019,PES2018,PES2017,,PES2015
54,131126,262198,393270,236,Spanish,‒,‒,Albert 'Txapi' Ferrer i Llopis,A. FERRER,6/6/1970,162474,,,,,FALSE,,FENARPI,フェナルピ,E. REMON,エロイ レモン,,,,,,,PES2016,PES2015
55,131127,262199,393271,236,Spanish,‒,‒,Sergi Barjuán i Esclusa,SERGI,12/28/1971,246785,,,,,FALSE,,,,T. CINTRA,テオドラ シントラ,,,,,,,PES2016,
56,131128,262200,393272,236,Spanish,‒,‒,Lluís Carreras i Ferrer,,9/24/1972,217136,,LLUÍS CARRERAS,ルイス カレーラス,,TRUE,65,,,"M. VILOCA
H. BORRELL
D. BILLABONA
E. GENERELO
O. SALASIBAR","マルセリノ ビロカ
エルナン ボレル
ダニエル ビジャボナ
エリアス ヘネレーロ
オスキツ サラシバール",,,,PES2019,PES2018,PES2017,PES2016,
58,131130,262202,393274,303,Serbian,‒,‒,Slaviša Jokanović,,8/16/1968,248045,Славиша Јокановић,"S. JOKANOVIĆ
S. YOKANOVICH",スラヴィシャ ヨカノヴィッチ,,TRUE,73,DJORDEVIC,ジョルデヴィッチ,"A. MILOSIC
E. HORVAT
D. NIKOLIC","アンドロ ミロシッチ
エディン ホルヴァト
ドラゼン ニコリッチ",,PES2021,,PES2019,PES2018,PES2017,PES2016,PES2015
59,131131,262203,393275,144,Argentine,‒,‒,Gabriel Humberto Calderón,G. CALDERÓN,2/7/1960,113213,,,,,UNATTESTED,,,,,,,,,,,,,
60,131132,262204,393276,152,Uruguayan,‒,‒,Pablo Javier Bengoechea Dutra,,6/27/1965,106960,,P. BENGOECHEA,パブロ ベンゴエチェア,巴勃罗·本戈切亚,TRUE,68,BOYPORA,ボイポラ,,,,,PES2020,PES2019,PES2018,,,PES2015
61,131133,262205,393277,150,Paraguayan,‒,‒,Víctor Genes,V. GENES,6/29/1961,280974,,,,,FALSE,,GAYACHI,ハジャシ,,,,,,,,,,PES2015
62,131134,262206,393278,210,German,‒,‒,Bernhard 'Bernd' Schuster,,12/22/1959,135832,,B. SCHUSTER,ベルント シュスター,,TRUE,78,SCHACLER,シャクラー,,,,,,PES2019,,,,PES2015
63,131135,262207,393279,236,Spanish,‒,‒,Miquel Olmo Forte,M. OLMO,1/20/1966,323738,,,,,FALSE,,OTTINO,オッティーノ,,,,,,,,,,PES2015
64,131136,262208,393280,236,Spanish,‒,‒,Víctor Muñoz Manrique,V. MUÑOZ,3/15/1957,168507,,,,,FALSE,,NAVEJOS,ナベホス,,,,,,,,,,PES2015
65,131137,262209,393281,236,Spanish,‒,‒,Julio Velázquez Santiago,,10/5/1981,233758,,JULIO VELÁZQUEZ,フリオ ベラスケス,胡利奥·贝拉斯克斯,TRUE,72,SALGUA,サルガ,"G. SAURA
F. COS
F. DE PORTAGO","ジェネ サウラ
フローレス コス
フェレ デ ポルターゴ",,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
66,131138,262210,393282,236,Spanish,‒,‒,Francisco 'Paco' Herrera Lorenzo,P. HERRERA,12/2/1953,163748,,,,,FALSE,,RAZAHIRA,ラサイラ,"Q. BERMEJO
I. BORRELL","キケ ベルメホ
イマノル ボレル",,,,,PES2018,PES2017,PES2016,PES2015
67,131139,262211,393283,236,Spanish,‒,‒,Juan Antonio Albacete Anquela,J. A. ANQUELA,9/11/1957,162452,,,,,FALSE,69,QUIQUIN,キキン,"F. GRIJALVA
E. DE PENALOSA
S. FREIJEDO","フェリウ グリハルバ
エバートン デ ペニャローサ
サンチョ フレイヘド",费利乌·格里哈尔瓦,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
68,131140,262212,393284,124,Mexican,‒,‒,Javier 'El Vasco' Aguirre Onaindía,,12/1/1958,130148,,J. AGUIRRE,ハビエル アギーレ,,TRUE,80,,,B. PADIN,バルタサル パディン,巴尔塔萨·帕丁,PES2021,PES2020,,PES2018,,,
69,131141,262213,393285,236,Spanish,‒,‒,Marcelino García Toral,,8/14/1965,175972,,MARCELINO,マルセリーノ,,TRUE,84,DENTORINO,デントリーノ,"D. CULEBRAS
A. CODAX
A. BANGO
O. CIENFUEGOS","ダミア クレブラス
アルトゥーロ コダス
アルフォンソ バンゴ
オリオール シエンフエーゴス",达米亚·库莱布拉斯,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
70,131142,262214,393286,146,Brazilian,‒,‒,Luiz Antônio 'Mano' Venker de Menezes,,6/11/1962,118668,,"MANO MENEZES
M. MENEZES","マノ メネゼス
メネセス",马诺·梅内塞斯,TRUE,76,MALTARINHO,マウタリーニョ,"L. SERPA
R. PEREIRO
E. LOBO","ラウレンソ セルパ
フベンス ペレイロ
エスタクイオ ロボ",劳伦科·塞尔帕,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
71,131143,262215,393287,236,Spanish,‒,‒,Luis Lucas Alcaraz González,L. ALCARAZ,6/21/1966,162073,,,,,FALSE,79,,,"I. MONTOYA
R. GRIMAU
O. CASTELAR","イスマエル モントーヤ
ラファエル グリマウ
オリオール カステラル",伊斯梅尔·蒙托亚,PES2021,PES2020,,PES2018,PES2017,PES2016,
72,131144,262216,393288,146,Brazilian,‒,‒,Oswaldo de Oliveira Filho,O. DE OLIVEIRA,12/5/1950,113241,,O. DE OLIVEIRA,オズワルド ジ オリヴェイラ,奥斯瓦尔多·德奥利韦拉,TRUE,75,TALRAO,タウロン,"M. LOBO
H. MENDONCA
C. SOTOMAIOR","マルシオ ロボ
エリオドロ メンドーサ
クラウジオ ソトマジョル",,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
73,131145,262217,393289,229,Romanian,‒,‒,Cosmin Marius Contra,,12/15/1975,154361,,C. CONTRA,"コスミン コントラ
コントラ",科斯明·孔特拉,TRUE,74,RANTINA,ランティナ,"E. BROWNE
M. THELWELL
D. ORRETT","エミール ブラウン
モンティ サールウェル
ディヴィ オレット",,,PES2020,PES2019,,PES2017,PES2016,PES2015
74,131146,262218,393290,146,Brazilian,‒,‒,Cristóvão Borges dos Santos,C. BORGES,6/9/1959,205754,,,,,FALSE,,GERMUTO,ジェルムート,L. ALBUQUERQUE,レアンドロ アルブケルケ,,,,,,PES2017,PES2016,PES2015
75,131147,262219,393291,13,Japanese,146,Brazilian,Wagner Augusto Lopes,WAGNER LOPES,1/29/1969,175202,呂比須ワグナー,,,,FALSE,69,ELDINER,エウジネル,"S. FURUTA
T. NEVES","古田 翔馬
チアゴ ネヴェス",古田翔马,,PES2020,,,,PES2016,PES2015
76,131148,262220,393292,146,Brazilian,‒,‒,Muricy Ramalho,M. RAMALHO,11/30/1955,128771,,,,,FALSE,,REYDINHO,ヘイジーニョ,"T. ALVARES
B. SERPA","トゥブルシオ アルヴァレス
ブリジド セルパ",,,,,,PES2017,PES2016,PES2015
77,131149,262221,393293,146,Brazilian,‒,‒,Ney Franco da Silveira Júnior,,6/22/1966,129514,,NEY FRANCO,ネイ フランコ,内伊·佛朗哥,TRUE,74,CANSAREI,カンザレイ,"O. CORTE REAL
D. MOREIRA","オリンピオ コルテ レアル
ヂオゴ モレイラ",奥林匹奥·科尔特-雷亚尔,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
78,131150,262222,393294,146,Brazilian,‒,‒,Vágner do Carmo Mancini,V. MANCINI,10/24/1966,128478,,,,,FALSE,75,VOUTINHO,ヴォウチーニョ,"S. TAVORA
C. PESSANHA
J. NEVES
E. AGUIAR","サンドロ タヴォーラ
クルス ペサーニャ
ジョアン ネヴェス
エステファニオ アギアル",,,,PES2019,PES2018,PES2017,PES2016,PES2015
79,131151,262223,393295,236,Spanish,‒,‒,Pablo Javier Machín Díez,P. MACHÍN,4/7/1975,236374,,,,,FALSE,77,PACHIZO,パチソ,"D. ARRIBAS
E. SAIZAL
A. VERT
O. ARCAS","ダミア アリバス
エウセビオ サイサル
アリツ ベルト
オクタビオ アルカス",达米亚·阿里瓦斯,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
80,131152,262224,393296,236,Spanish,‒,‒,Abelardo Fernández Antuña,ABELARDO,4/19/1970,262844,,,,,FALSE,79,HARZANEGUA,アルサネガ,"J. CERVIAN
H. MORE
S. BATINO
J. VAZQUEZ","ハラベ セルビアン
エルナン モレ
サルバドール バティーニョ
ホルヘ バスケス",哈拉贝·塞尔维安,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
81,131153,262225,393297,236,Spanish,144,Argentine,Juan Antonio Pizzi Torroja,J. A. PIZZI,6/7/1968,170511,,PIZZI,ピッツィ,胡安·皮齐,TRUE,77,,,"S. CEREROLS
J. ALDANA
G. PALOMINO","サビーノ セレロールス
ホアキン アルダナ
ジェラール パロミーノ",,PES2021,PES2020,PES2019,PES2018,PES2017,,
82,131154,262226,393298,236,Spanish,‒,‒,Javier 'Javi' Gracia Carlos,JAVI GRACIA,5/1/1970,164995,,,,,FALSE,81,,,"S. BERMEJO
T. DE BLAS
R. VILA
M. COTELO","サンティ ベルメホ
トレンツ デ ブラス
ロベルト ビラ
メルセデス コテロ",桑蒂·贝尔梅霍,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,
83,131155,262227,393299,236,Spanish,‒,‒,Eusebio Sacristán Mena,EUSEBIO SACRISTÁN,4/13/1964,192979,,,,,FALSE,78,SERGILLA,セルヒージャ,"J. INZENGA
A. JORQUERA
A. URZELAY
L. ZABALEGI
J. FONT","ホセ イバン インセンガ
アントニオ ジョルケーラ
アベラルド ウルセライ
ルシオ サバギ
ジョーバー フォント",何塞-伊万·因桑加,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
84,131156,262228,393300,236,Spanish,‒,‒,Fernando Vázquez Pena,F.  VÁZQUEZ,10/24/1954,284611,,,,,FALSE,78,,,"D. CEREZO
J. MANEN
B. COBAS","ドナルド セレソ
ホセ フランシスコ マネン
ボヤン コバス",,PES2021,PES2020,,,PES2017,PES2016,
85,131157,262229,393301,144,Argentine,‒,‒,Gerardo Daniel 'Tata' Martino,G. MARTINO,11/20/1962,130170,,,,,FALSE,82,,,"E. CORONADO
Q. EXPOSITO
Z. MILLAN","エバートン コロナド
キケ エスポシト
ゾラン ミリャン",埃弗顿·科罗纳多,PES2021,PES2020,,,PES2017,PES2016,
86,131158,262230,393302,236,Spanish,‒,‒,Joaquín de Jesús Caparrós Camino,J. CAPARRÓS,10/13/1955,110783,,J. CAPARRÓS,ホアキン カパロス,华金·卡帕罗斯,TRUE,80,COPORAZ,コポラス,"F. OBIOLS
Q. BESORA
P. RANGEL","ファウスト オビオルス
キケ ベソーラ
パブロ ランヘル",,PES2021,PES2020,PES2019,PES2018,PES2017,,PES2015
87,131159,262231,393303,236,Spanish,‒,‒,Francisco 'Fran' Escribá Segura,F. ESCRIBÁ,5/3/1965,261237,,,,,FALSE,74,EXCELABIA,エセラビア,"Q. MORIEDA
J. LOREDO","キケ モリエーダ
ホセ マリア ロレド",基克·莫里埃达,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
